"","table.name.out","trt_diff","t_test","wil_test","lm","wlm","rlm","rt_t","rt_wil","cust.1","t_bias","t_cp","wil_bias","wil_cp","lm_bias","lm_cp","wlm_bias","wlm_cp","rlm_bias","rlm_cp","cust_bias","cust_cp","t_sd","wil_sd","lm_sd","wlm_sd","rlm_sd","cust_sd"
"1","function (time, seed) {    0}","0","0.02522","0.05054","0.07464","0.02641","0.10719","0.02739","0.05186","0.02679","-0.000137054639169814","0.94794","-0.000170049214970225","0.89922","-0.000140340597455847","0.84874","-0.000140476369672679","0.94734","-0.000146767447729197","0.78504","-0.000135567232521938","0.94645","0.0340231604607504","0.0364439237289215","0.0340354244060084","0.0340343643003429","0.0365062545347455","0.0340856211133522"
"2","function (time, seed) {    0}","0.13","0.96661","0.97157","0.99092","0.9676","0.98935","0.96834","0.97164","0.96764","-0.000115814161981708","0.94682","-0.000118441182461504","0.89845","-0.000115458597705116","0.84832","-0.000116097146524649","0.94622","-0.000122208085785217","0.78662","-0.000113886128526312","0.94587","0.034044045136976","0.0364618806860818","0.0340557376463207","0.0340528194643296","0.0365319407130648","0.0340870612282569"
"3","function (time, seed) {    0.3/(n - 1) * (time - 1)}","0","0.02516","0.04715","0.0746","0.02608","0.10583","0.02716","0.04845","0.02644","-4.02188125708904e-05","0.94811","-3.27635194379309e-05","0.9048","-2.31119783339636e-05","0.8502","-2.23650303196654e-05","0.94727","3.19321635495978e-05","0.78887","-2.55029496750424e-05","0.94668","0.0349568622476311","0.0372301180978885","0.0339904706760892","0.0339876991343706","0.0364586023434244","0.034035751020983"
"4","function (time, seed) {    0.3/(n - 1) * (time - 1)}","0.13","0.95919","0.96513","0.99127","0.9684","0.98937","0.96096","0.96574","0.96852","-5.23148543455734e-05","0.94922","3.31907673509001e-05","0.90444","-5.30348986600152e-05","0.8492","-4.95673430071654e-05","0.94855","3.79119696857207e-06","0.78655","-4.11105422673675e-05","0.94768","0.0348423132622568","0.0371783027280204","0.033952301386205","0.0339455363378287","0.0364676824622513","0.0340028021776771"
"5","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.002))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0","0.02523","0.03432","0.05091","0.02525","0.05985","0.02677","0.03561","0.02702","0.000140083614185874","0.94857","0.000212847570388977","0.93194","3.74934577362765e-05","0.89753","3.6213018736165e-05","0.94848","8.03715072367102e-05","0.88084","0.000168591017453944","0.9463","0.0540400823483277","0.0554180439503715","0.0432183545240947","0.0432196531178941","0.0454622891273394","0.0362524869575733"
"6","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.002))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0.13","0.70535","0.71985","0.9066","0.85197","0.89269","0.70943","0.72301","0.94926","-0.000180275103971848","0.94814","-0.000169805392414859","0.93134","-0.000125142681147423","0.89726","-0.000125100738262758","0.9476","-0.000115969228159687","0.88097","9.33069701298286e-06","0.9468","0.0540270104555319","0.0554389468785194","0.0432407923433364","0.0432424304596541","0.0455023934408676","0.0361867608086967"
"7","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.004))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0","0.02547","0.03096","0.04309","0.0254","0.04773","0.02625","0.03208","0.02622","0.000319736180043694","0.94933","0.000340195780804365","0.93909","0.000134879934470465","0.91433","0.00013483580558745","0.94902","0.000105525725601638","0.90526","0.000147055572334908","0.94788","0.0685185756656516","0.0680764346604923","0.0507372830353616","0.0507393397626106","0.0531926298450897","0.0379498601189572"
"8","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.004))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0.13","0.55345","0.57252","0.80251","0.7419","0.78271","0.55785","0.5752","0.92865","-0.000193881931712467","0.94879","-0.000215173545310996","0.93798","-6.10800352250602e-05","0.9129","-6.14319116580226e-05","0.94738","-4.83545761165001e-05","0.90333","5.94325557983743e-05","0.94767","0.0689629304795019","0.068410599202914","0.0508510867981145","0.0508535924096947","0.0533575888814638","0.0380928287386575"
