"","table.name.out","trt_diff","cust.1","cust.2","cust.3","cust_1_bias","cust_1_cp","cust_2_bias","cust_2_cp","cust_3_bias","cust_3_cp","cust_1_sd","cust_2_sd","cust_3_sd"
"1","function (time, seed) {    0}","0","0.02614","0.02583","0.03359","7.9892797987545e-05","0.94714","8.00455224604517e-05","0.94765","3.64448308205436e-05","0.93221","0.0340889894966008","0.0340569224315717","0.0355096564633988"
"2","function (time, seed) {    0}","0.13","0.96864","0.96842","0.96587","0.000100455331356165","0.94711","9.87408728490877e-05","0.94752","5.8397157836374e-05","0.93254","0.0340570430726976","0.0340298011018879","0.035446236050353"
"3","function (time, seed) {    0.3/(n - 1) * (time - 1)}","0","0.02645","0.02607","0.03406","0.000242067463210857","0.94795","0.000239971928990431","0.94867","0.000278596311681234","0.93366","0.0339306733486749","0.0338963962889534","0.0352921727023442"
"4","function (time, seed) {    0.3/(n - 1) * (time - 1)}","0.13","0.96854","0.96852","0.96553","-6.19452039187841e-05","0.94754","-6.16508224224334e-05","0.94799","1.90018094564104e-05","0.9329","0.0340008889424343","0.0339663434942899","0.0353779941756644"
"5","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.002))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0","0.02793","0.02699","0.0345","0.000207082311438152","0.9462","0.000243790802426085","0.94726","0.000252432915947356","0.93255","0.0361686568413029","0.040024233479465","0.0356858814313639"
"6","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.002))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0.13","0.95025","0.89981","0.9646","0.00013858478924644","0.94831","9.07219484378092e-05","0.94941","0.000103965181641306","0.93305","0.0361016400567268","0.0399928498341243","0.0355978148898648"
"7","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.004))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0","0.02639","0.02574","0.03287","4.57147001243798e-05","0.94789","-1.52414937431552e-05","0.9489","0.000100803648174233","0.93441","0.0380471582038327","0.0452109067753693","0.035863815561138"
"8","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.004))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0.13","0.92766","0.82081","0.96192","-5.45297213701277e-05","0.94849","-0.000333818252278403","0.94906","3.8514361988868e-05","0.93543","0.0379283771236001","0.0451419075962703","0.0357506189041763"
