"","table.name.out","trt_diff","t_test","wil_test","lm","wlm","rlm","rt_t","rt_wil","cust.1","t_bias","t_cp","wil_bias","wil_cp","lm_bias","lm_cp","wlm_bias","wlm_cp","rlm_bias","rlm_cp","cust_bias","cust_cp","t_sd","wil_sd","lm_sd","wlm_sd","rlm_sd","cust_sd"
"1","function (time, seed) {    0}","0","0.02473","0.0246","0.0251","0.02509","0.02492","0.0256","0.02565","0.0251","7.50516547209658e-05","0.94989","8.4004352152805e-05","0.95092","7.61699349502055e-05","0.9497","7.6166475659133e-05","0.94972","7.96207743591907e-05","0.95058","9.02418660414467e-05","0.94967","0.0244033255364356","0.0249637174587488","0.0244309846736663","0.0244311197828812","0.0250467873504168","0.0245091228219607"
"2","function (time, seed) {    0}","0.1","0.98272","0.97836","0.98265","0.98267","0.97769","0.98271","0.97855","0.98217","3.55714409465765e-05","0.94896","3.45404629872617e-05","0.95036","3.20557544523013e-05","0.94892","3.21358950593149e-05","0.9489","3.00828207682914e-05","0.94946","3.2821874656023e-05","0.94881","0.0245468078345621","0.0251256231546704","0.0245687497254835","0.0245691604063351","0.0251981725880966","0.024653356005723"
"3","function (time, seed) {    0.3/(n - 1) * (time - 1)}","0","0.02472","0.02553","0.02498","0.02499","0.0256","0.02582","0.0265","0.02528","-6.73431215486919e-05","0.94995","-4.28073491888279e-05","0.9494","-2.02081660270595e-05","0.94995","-2.03019935779644e-05","0.94991","4.70172387337019e-06","0.94876","-2.03423504717447e-05","0.94964","0.0254411774906985","0.0260756994702178","0.0244705471903425","0.0244711762143461","0.0251198977990252","0.0245461197670375"
"4","function (time, seed) {    0.3/(n - 1) * (time - 1)}","0.1","0.97394","0.9681","0.98227","0.98228","0.97721","0.97418","0.96878","0.98168","-1.06645792025504e-06","0.94913","-1.33546370364021e-05","0.94951","-2.48936231116363e-06","0.94885","-2.5213157343691e-06","0.9488","-2.21466752385007e-05","0.94835","7.83421430837004e-06","0.9486","0.0254903500532188","0.0261423907863815","0.0245374495103517","0.0245377455679488","0.025211633700687","0.0246162611903331"
"5","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.002))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0","0.02527","0.02523","0.02513","0.02511","0.02549","0.02648","0.0261","0.02623","-1.07657673292158e-05","0.95032","7.02799841410716e-05","0.951","-2.65810722241136e-05","0.95032","-2.67676665380105e-05","0.95033","4.93556539421906e-05","0.94995","-2.27787393100274e-05","0.94854","0.0439184430841148","0.0444526072922589","0.0335973024455015","0.03359942243164","0.0347433094164608","0.0268122590490956"
"6","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.002))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0.1","0.68072","0.66575","0.84454","0.84466","0.82306","0.68401","0.66814","0.96153","0.000154802818769907","0.95055","0.000158344199794906","0.95084","0.000153985712837763","0.94962","0.000153915844961577","0.94964","0.000161126282270194","0.94967","0.000160523248469592","0.95005","0.0437246824258946","0.0442048194971005","0.0337043333878155","0.0337066079057374","0.0348547483814254","0.0267785618843571"
"7","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.004))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0","0.02537","0.02532","0.02579","0.02578","0.02594","0.02629","0.02652","0.02531","-0.000113906711200959","0.94893","-0.000165057048455837","0.94922","-7.88256084937255e-05","0.94883","-7.83607973976826e-05","0.94886","-8.40091352755611e-05","0.94826","-8.52179714285631e-05","0.9494","0.0571718974425707","0.0560970680549293","0.0409699201802156","0.0409741605628565","0.0424298034583938","0.0287449507928509"
"8","function (time, seed) {    set.seed(seed)    time.temp.1 = rnorm(n = n - 1, 0, sd = sqrt(0.004))    time.temp = (c(0, cumsum(time.temp.1)))    time.temp[time]}","0.1","0.51257","0.50776","0.71031","0.71034","0.68526","0.51635","0.51096","0.93623","-0.000170616153165276","0.9499","-0.000162937397806645","0.95015","-8.68194247621274e-05","0.95081","-8.66726836049867e-05","0.95076","-8.84698192329874e-05","0.94983","6.14946051773947e-06","0.94979","0.0572428426662661","0.0561571315513318","0.0408063115650371","0.0408106245290726","0.0422853114378322","0.0286182834899002"
